Year,Month,Day,Mean Pressure (hPa),Absolute Daily Max (deg. C),Mean (deg. C),Absolute Daily Min (deg. C),Mean Dew Point (deg. C),Mean Relative Humidity (%),Mean Amount of Cloud (%),Total Rainfall (mm),Total Bright Sunshine (hours),Prevailing Wind Direction (degrees),Mean Wind Speed (km/h)
1884,1,1,***,15.3,***,13.7,***,***,***,Trace,***,***,***
1884,1,2,***,17.1,***,14.6,***,***,***,Trace,***,***,***
1884,1,3,***,19.6,***,16.2,***,***,***,0,***,***,***
1884,1,4,***,23.2,***,17,***,***,***,0,***,***,***
1884,1,5,***,19.4,***,13.6,***,***,***,0,***,***,***
1884,1,6,***,18.7,***,14.6,***,***,***,0,***,***,***
1884,1,7,***,19.5,***,14.9,***,***,***,0,***,***,***
1884,1,8,***,17,***,11.4,***,***,***,0,***,***,***
1884,1,9,***,15.6,***,8.2,***,***,***,0,***,***,***
1884,1,10,***,16.9,***,11.6,***,***,***,Trace,***,***,***
1884,1,11,***,15.6,***,13.8,***,***,***,0,***,***,***
1884,1,12,***,19.8,***,15.3,***,***,***,0,***,***,***
1884,1,13,***,21.3,***,15.9,***,***,***,Trace,***,***,***
1884,1,14,***,20,***,17.4,***,***,***,0,***,***,***
1884,1,15,***,18.2,***,16.1,***,***,***,0,***,***,***
1884,1,16,***,19.3,***,15.1,***,***,***,0,***,***,***
1884,1,17,***,18.9,***,13.8,***,***,***,0,***,***,***
1884,1,18,***,17.8,***,14.1,***,***,***,0,***,***,***
1884,1,19,***,17.6,***,13.8,***,***,***,0,***,***,***
1884,1,20,***,16.8,***,14.3,***,***,***,0,***,***,***
1884,1,21,***,16.9,***,13.5,***,***,***,0,***,***,***
1884,1,22,***,17.6,***,14.1,***,***,***,0,***,***,***
1884,1,23,***,21.8,***,15.9,***,***,***,0,***,***,***
1884,1,24,***,21.7,***,17.7,***,***,***,0,***,***,***
1884,1,25,***,19.2,***,16.5,***,***,***,Trace,***,***,***
1884,1,26,***,23.1,***,15.4,***,***,***,0,***,***,***
1884,1,27,***,22.7,***,16.8,***,***,***,0,***,***,***
1884,1,28,***,20.1,***,15.8,***,***,***,0,***,***,***
1884,1,29,***,24.3,***,16.5,***,***,***,0,***,***,***
1884,1,30,***,18.8,***,15.6,***,***,***,Trace,***,***,***
1884,1,31,***,20,***,16.5,***,***,***,Trace,***,***,***
1884,2,1,***,17.1,***,14.6,***,***,***,0,***,***,***
1884,2,2,***,17.1,***,13.7,***,***,***,0.3,***,***,***
1884,2,3,***,21.1,***,11.3,***,***,***,32.2,***,***,***
1884,2,4,***,15.1,***,7.5,***,***,***,0,***,***,***
1884,2,5,***,14.9,***,7.6,***,***,***,3.7,***,***,***
1884,2,6,***,14.8,***,7.9,***,***,***,0,***,***,***
1884,2,7,***,12.2,***,6,***,***,***,0,***,***,***
1884,2,8,***,13.7,***,6.6,***,***,***,0,***,***,***
1884,2,9,***,13.7,***,8.2,***,***,***,0,***,***,***
1884,2,10,***,14.4,***,11.6,***,***,***,6.9,***,***,***
1884,2,11,***,13.7,***,11.4,***,***,***,3.1,***,***,***
1884,2,12,***,13.2,***,12.1,***,***,***,30.4,***,***,***
1884,2,13,***,16.4,***,11.8,***,***,***,0,***,***,***
1884,2,14,***,15.3,***,12.5,***,***,***,0,***,***,***
1884,2,15,***,14.9,***,13.2,***,***,***,1,***,***,***
1884,2,16,***,17.3,***,14.1,***,***,***,0.4,***,***,***
1884,2,17,***,15.6,***,13.8,***,***,***,1,***,***,***
1884,2,18,***,16.6,***,14.1,***,***,***,1.1,***,***,***
1884,2,19,***,16.6,***,14.9,***,***,***,6.8,***,***,***
1884,2,20,***,16.6,***,14.9,***,***,***,0.2,***,***,***
1884,2,21,***,19.9,***,13.2,***,***,***,0,***,***,***
1884,2,22,***,16.8,***,12.6,***,***,***,0,***,***,***
1884,2,23,***,19.1,***,13.2,***,***,***,0,***,***,***
1884,2,24,***,18,***,12.1,***,***,***,0,***,***,***
1884,2,25,***,15.9,***,10.3,***,***,***,0,***,***,***
1884,2,26,***,16.6,***,11.3,***,***,***,0,***,***,***
1884,2,27,***,19.2,***,13.4,***,***,***,0,***,***,***
1884,2,28,***,19.9,***,15.4,***,***,***,0,***,***,***
1884,2,29,***,18.6,***,15.2,***,***,***,0,***,***,***
1884,3,1,***,18.6,***,14.6,***,***,***,0,***,***,***
1884,3,2,***,21.7,***,14.4,***,***,***,0,***,***,***
1884,3,3,***,21.1,***,14.2,***,***,***,0,***,***,***
1884,3,4,***,17.8,***,14.7,***,***,***,0,***,***,***
1884,3,5,***,15.5,***,14.1,***,***,***,0,***,***,***
1884,3,6,***,17.2,***,14.2,***,***,***,0,***,***,***
1884,3,7,***,20.8,***,16.1,***,***,***,50.6,***,***,***
1884,3,8,***,17,***,13.4,***,***,***,0,***,***,***
1884,3,9,***,15.2,***,12.9,***,***,***,0.8,***,***,***
1884,3,10,***,15.5,***,12.7,***,***,***,0,***,***,***
1884,3,11,***,20,***,15.2,***,***,***,0,***,***,***
